ds_id_src,ds_nm_src,var_id_src,var_nm_src,ds_id_dst,ds_nm_dst,var_id_dst,var_nm_dst,rel_id,rel_nm,trans_type_id,trans_type,trans_str
00002,RDRPARAM.D_RADAR_LIBRARY_ASSIGN,00003,LNAME,00001,TMP,00001,A,00001,transform,00001,strip,A=strip(LNAME);
00002,RDRPARAM.D_RADAR_LIBRARY_ASSIGN,00004,PATH,00001,TMP,00002,B,00001,transform,00002,cats,"B=CATS(""'"",PATH,""'"");"
00002,RDRPARAM.D_RADAR_LIBRARY_ASSIGN,-1,,00003,CNT,00005,_freq_,00001,transform,00003,sas-proc-summary,output out = cnt(keep = _freq_)  ;
00002,RDRPARAM.D_RADAR_LIBRARY_ASSIGN,00007,PORTFOLIO,00004,WORK.RSK_RSO_AU_LIBRARY_ASSIGN,00006,lmac,00001,transform,00004,catx,"lmac= CATX('_','RADAR',PORTFOLIO,LIB_PARAMETER);"
00002,RDRPARAM.D_RADAR_LIBRARY_ASSIGN,00008,LIB_PARAMETER,00004,WORK.RSK_RSO_AU_LIBRARY_ASSIGN,00006,lmac,00001,transform,00004,catx,"lmac= CATX('_','RADAR',PORTFOLIO,LIB_PARAMETER);"
00002,RDRPARAM.D_RADAR_LIBRARY_ASSIGN,00007,PORTFOLIO,00004,WORK.RSK_RSO_AU_LIBRARY_ASSIGN,00006,lmac,00001,transform,00004,catx,"lmac= CATX('_',PORTFOLIO,LIB_PARAMETER);"
00002,RDRPARAM.D_RADAR_LIBRARY_ASSIGN,00008,LIB_PARAMETER,00004,WORK.RSK_RSO_AU_LIBRARY_ASSIGN,00006,lmac,00001,transform,00004,catx,"lmac= CATX('_',PORTFOLIO,LIB_PARAMETER);"
00007,RADAR.RADAR_ILS_ACCOUNT_STOCK,00109,D_MTH,00006,RADAR.T_SME_OBS_ILS,00059,D_MTH,00002,append|copy,,,D_RADAR_ILS_ACCOUNT_STOCK.D_MTH
00007,RADAR.RADAR_ILS_ACCOUNT_STOCK,00110,N_ACCT,00006,RADAR.T_SME_OBS_ILS,00060,N_ACCT,00002,append|copy,,,D_RADAR_ILS_ACCOUNT_STOCK.N_ACCT
00007,RADAR.RADAR_ILS_ACCOUNT_STOCK,00111,C_GRP_PROD,00006,RADAR.T_SME_OBS_ILS,00061,C_GRP_PROD,00002,append|copy,,,D_RADAR_ILS_ACCOUNT_STOCK.C_GRP_PROD
